Category EN,Description,License,Equipment
Recovery/service truck,TRUCK HD RAILROAD INTERNATIONAL 7400 SBA,H725152,108019
Recovery/service truck,TRUCK HD RECOVERY KENWORTH T800,H725510,108020
Recovery/service truck,TRUCK HD RECOVERY KENWORTH T800,H089106,108022
Road construction and cleaning equipment,TRACTOR WHEELED JCB FASTRAC 2155,861EAB,110008
Road construction and cleaning equipment,TRACTOR WHEELED KUBOTA M9540DTC,087EAD,110009
Road construction and cleaning equipment,TRACTOR WHEELED JCB HMV 2155,322EAD,110010
Road construction and cleaning equipment,TRACTOR WHEELED KUBOTA M5-111,AOD112E,110011
Road construction and cleaning equipment,TRACTOR WHEELED JCB FASTRAC 4160,238EAC,110012
Road construction and cleaning equipment,TRACTOR WHEELED 6110B,E138ACD,110013
Road construction and cleaning equipment,TRACTOR WHEELED 6110B,E140ACD,110014
Road construction and cleaning equipment,TRACTOR WHEELED 6110B,E139ACD,110015
Chemical truck,TRUCK HD CHEMICAL 3000 GAL KENWORTH T370,H032206,111012
Chemical truck,TRUCK HD CHEMICAL 3000 GAL KENWORTH T370,H032106,111013
Chemical truck,TRUCK HD CHEMICAL 20 TONN HINO 67443C,H531506,111015
Recovery/service truck,TRUCK HD LUBE KENWORTH T800,H724244,115015
HD truck (tractor),TRACTOR AIRCRAFT TOW (TUG) AWD,229EAD,116014
HD truck (tractor),TRUCK HD TRACTOR HYUNDAI HD-1000,H176506,117018
HD truck (tractor),TRUCK HD TRACTOR HYUNDAI HD-1000,H725109,117019
HD truck (tractor),TRUCK HD MAN TGS-41.400,H494106,117020
HD truck (tractor),TRUCK HD MAN TGS-41.400,H497706,117021
HD truck (tractor),TRUCK HD FRAC TANK TRACTOR W/WINCH KENWO,H209306,117022
Dump truck,TRUCK KAMAZ-65201 MULTILIFT HOOK LOADER,H176206,117023
Dump truck,TRUCK KAMAZ-65201 MULTILIFT HOOK LOADER,H190606,117024
Hook loader truck,TRUCK HD HOOK LOADER KENWORTH T800,H192506,117025
Hook loader truck,TRUCK HD HOOK LOADER KENWORTH T800,H205106,117026
Hook loader truck,TRUCK HD HOOK LOADER KENWORTH T800,H205206,117027
Hook loader truck,TRUCK HD HOOK LOADER KENWORTH T800,H205506,117028
Hook loader truck,TRUCK HD HOOK LOADER KENWORTH T800,H205406,117029
Hook loader truck,TRUCK HD HOOK LOADER KENWORTH T800,H205306,117030
HD truck (tractor),TRUCK HD MAN TGX 18.400 ,H550506,117032
HD truck (tractor),TRUCK HD MAN TGX 41.640 ,H550206,117033
HD truck (tractor),TRUCK HD KAMAZ 54901-70014СА ,H519206,117034
HD truck (tractor),TRUCK HD MAN TGS 26.440,H499406,117035
Dump truck,TRUCK DUMP KAMAZ 8X4 65201-011,H726309,123021
Dump truck,TRUCK DUMP KAMAZ 8X4 65201-011,H726307,123022
Dump truck,TRUCK DUMP KAMAZ 65201-7080-49 ,H550906,123023
Flatbed/boom truck (do not use),TRUCK HD BOOM FORD CARGO 2533 HR,H190806,126029
Flatbed/boom truck (do not use),TRUCK HD KAMAZ FLATBED,H315706,126030
Hook loader truck,TRUCK HD HINO-700 BOOM PALFINGER,H512706,126031
Flatbed/boom truck (do not use),TRUCK HD KAMAZ FLATBED,H520406,126032
Flatbed/boom truck (do not use),TRUCK HD HINO 37630C FLATBED,H496006,126033
Flatbed/boom truck (do not use),TRUCK HD HINO 37630C FLATBED,H495306,126034
Hook loader truck,TRUCK HD HINO-700 BOOM PALFINGER,H523906,126035
Flatbed/boom truck (do not use),TRUCK HD KAMAZ 5325-1002-69,H499706,126036
Food truck,TRUCK HD BOX HINO 338,H286606,128022
Food truck,TRUCK HD BOX HINO 338,H286506,128023
Food truck,TRUCK HD BOX HINO 338,H289406,128024
Food truck,TRUCK HD BOX HINO 338,H286706,128025
Food truck,TRUCK HD BOX HINO 338,H286806,128026
Food truck,TRUCK HD BOX HINO 338,H286906,128027
Food truck,TRUCK HD BOX HINO 338,H287306,128028
Food truck,TRUCK HD BOX REFRIGERATED HINO 338,H287006,128029
Food truck,TRUCK HD BOX REFRIGERATED HINO 338,H287106,128030
Food truck,TRUCK HD BOX REFRIGERATED HINO 338,H287206,128031
Flatbed/boom truck (do not use),TRUCK HD FLATBED W/CANOPY 6312B9-420-010,H124106,128032
Food truck,TRUCK HD BOX INSULATED FORD 2526 HR,H166806,128033
Food truck,TRUCK HD BOX INSULATED FORD 2526 HR,H166906,128034
Food truck,TRUCK HD BOX INSULATED FORD 1826 DC,H168206,128036
Food truck,TRUCK HD BOX INSULATED FORD 1826 DC,H168106,128037
HD truck (tractor),TRUCK HD BOX REFRIGERATED HINO 500 MTA,H176106,128038
Food truck,TRUCK HD BOX REFRIGERATED HINO 500,H209506,128039
Food truck,TRUCK HD BOX REFRIGERATED HINO 500,H209606,128040
Dispossal equipment,COMPACTOR LANDFILL BOMAG BC 473 RB-4,231EAC,206003
Dispossal equipment,REFUSE COMPACTOR BOMAG BC 473 RB-3,255EAC,206004
Road construction and cleaning equipment,ROLLER VIBRATING BOMAG BW60SC4,,213003
Snow plough truck,TRUCK HD SNOW PLOUGH KENWORTH C-500,H031906,216012
Snow plough truck,TRUCK HD SNOW PLOUGH KENWORTH C-500,H032006,216013
Snow plough truck,TRUCK HD SNOW PLOUGH KENWORTH C-500,H031406,216015
Snow plough truck,TRUCK HD SNOW PLOUGH KENWORTH C-500,H031506,216016
Snow plough truck,TRUCK HD SNOW PLOUGH MAZ KO-806-20(4in1),H168406,216018
Snow plough truck,TRUCK HD SNOW PLOUGH KENWORTH C-500,N/A,216019
Snow plough truck,TRUCK HD SNOW PLOUGH KAMAZ КО-829 (4in1),H190706,216020
Snow plough truck,TRUCK HD SNOW PLOUGH KAMAZ КО-829 (4in1),H240306,216022
"Cleaning, washing tools etc.",SWEEPING MACHINE GS 1200,,218011
Attachment,ATTACHMENT - RAKE GROUND BOBCAT LR 5B,,219001
Snow blower (do not use),SNOW BLOWER SAARBRUKEN MTD E660G,,270017
Snow blower (do not use),SNOW BLOWER SAARBRUKEN MTD E660G,,270020
Snow plough truck,TRUCK HD MULTI-PURPOSE WAUSAU-EVEREST SD,233EAD,270025
Snow plough truck,TRUCK HD MULTI-PURPOSE WAUSAU-EVEREST SD,234EAD,270026
Snow blower (do not use),BLOWER - SNOW 7.4 KW/3600 RPM MTD ME76,,270031
Snow blower (do not use),BLOWER - SNOW 7.4 KW/3600 RPM MTD ME76,,270032
Snow blower (do not use),BLOWER - SNOW 7.4 KW/3600 RPM MTD ME76,,270033
Snow blower (do not use),BLOWER - SNOW 7.4 KW/3600 RPM MTD ME76,,270034
Snow blower (do not use),BLOWER - SNOW 7.4 KW/3600 RPM MTD ME76,,270035
Snow blower (do not use),BLOWER - SNOW 7.4 KW/3600 RPM MTD ME76,,270036
Snow blower (do not use),SNOW BLOWER MTD OPTIMA  ME66,,270037
Snow blower (do not use),SNOW BLOWER MTD OPTIMA  ME66,,270038
Snow blower (do not use),SNOW BLOWER MTD OPTIMA  ME66,,270039
Air compressor motorized,COMPRESSOR AIR DIESEL 22KW 530L/MIN BAUE,,301011
Air compressor motorized,COMPRESSOR AIR DIESEL 22KW 530L/MIN BAUE,,301012
Air compressor motorized,COMPRESSOR AIR DIESEL 22KW 530L/MIN BAUE,,301013
Air compressor motorized,COMPRESSOR AIR DIESEL 22KW 530L/MIN BAUE,,301014
Air compressor motorized,COMPRESSOR AIR DIESEL 22KW 530L/MIN BAUE,,301015
Air compressor motorized,COMPRESSOR AIR DIESEL 22KW 530L/MIN BAUE,,301016
Air compressor motorized,COMPRESSOR AIR DIESEL UKS 400 on KAMAZ,,301019
Air compressor motorized,COMPRESSOR AIR DIESEL UKS 400 on KAMAZ,N/A,301020
Air compressor electric,AIR SCREW COMPRESSOR EKOMAK,N/A,301021
Air compressor electric,AIR SCREW COMPRESSOR EKOMAK,N/A,301022
Air compressor electric,COMPRESSOR AIR ELECTRIC BAUER V150-11-5,N/A,302028
Air compressor electric,COMPRESSOR AIR ELECTRIC 192 CFM/7.5 ATLA,,302029
Air compressor electric,COMPRESSOR AIR ELECTRIC BAUER V150-11-5,,302031
Air compressor electric,COMPRESSOR AIR ELECTRIC ATLAS COPCO GA22,,302033
Air compressor electric,COMPRESSOR AIR ELECTRIC ATLAS COPCO GA22,,302034
Air compressor motorized,COMPRESSOR AIR DIESEL ATLAS COPCO,AND241E,302035
Air compressor electric,COMPRESSOR AIR ELECTRIC BAUER V150-11-5,,302036
Air compressor electric,COMPRESSOR AIR ELECTRIC BAUER V560/420,N/A,302039
Air compressor motorized,COMPRESSOR AIR DIESEL XAVS396CD ATLAS CO,,307036
Air compressor motorized,COMPRESSOR AIR DIESEL XRHS506CD ATLAS CO,,307037
Air compressor motorized,COMPRESSOR AIR DIESEL INGERSOLL FJD,,307039
Air compressor motorized,COMPRESSOR AIR DIESEL 1059 CFM/20 ATLAS-,,307040
Air compressor motorized,COMPRESSOR AIR DIESEL INGERSOLL FJD,,307042
Air compressor motorized,COMPRESSOR AIR DIESEL 784 CFM/20 ATLAS-C,038EAD,307044
Air compressor motorized,COMPRESSOR AIR DIESEL 784 CFM/20 ATLAS-C,037EAD,307045
Air compressor motorized,COMPRESSOR AIR DIESEL 310 CFM/14 ATLAS-C,007EAD,307046
Air compressor motorized,COMPRESSOR AIR DIESEL 310 CFM/14 ATLAS-C,020EAD,307047
Air compressor motorized,COMPRESSOR AIR DIESEL 310 CFM/14 ATLAS-C,018EAD,307048
Air compressor motorized,COMPRESSOR AIR DIESEL 310 CFM/14 ATLAS-C,019EAD,307049
Air compressor motorized,COMPRESSOR AIR DIESEL 310 CFM/14 ATLAS-C,009EAD,307050
Air compressor motorized,COMPRESSOR AIR DIESEL 310 CFM/14 ATLAS-C,006EAD,307052
Air compressor motorized,COMPRESSOR AIR DIESEL 310 CFM/14 ATLAS-C,008EAD,307053
Air compressor motorized,COMPRESSOR AIR DIESEL 310 CFM/14 ATLAS-C,017EAD,307054
Air compressor motorized,COMPRESSOR AIR DIESEL 784 CFM/20 ATLAS-C,036EAD,307056
Air compressor motorized,COMPRESSOR AIR DIESEL 1059 CFM/20 ATLAS-,016EAD,307057
Air compressor motorized,COMPRESSOR AIR DIESEL INGERSOLL 185 CFM/,011EAD,307058
Air compressor motorized,COMPRESSOR AIR DIESEL INGERSOLL 185 CFM/,012EAD,307059
Air compressor electric,COMPRESSOR AIR ELECTRIC BAUER V18.1-15-5,596EAD,307060
Air compressor electric,COMPRESSOR AIR ELECTRIC BAUER V18.1-15-5,595EAD,307061
Air compressor motorized,COMPRESSOR AIR DIESEL 127 CFM/7  37P ROT,751EAD,307062
Air compressor motorized,COMPRESSOR AIR DIESEL 5 CFM/ 7 BAR ,252ЕАС,307063
Lifting (load gripping mechanism),CRANE MINI SPIDER UNIC 2.9 TON DUAL POWE,177EAC,502010
Lifting (load gripping mechanism),CRANE MINI SPIDER UNIC 6 TON DUAL POWER,176EAC,502011
Lifting (load gripping mechanism),CRANE INDUSTRIAL BRODERSON 13 TON,ABD292E,503015
Lifting (load gripping mechanism),CRANE INDUSTRIAL BRODERSON 13 TON,ABD291E,503016
Lifting (load gripping mechanism),CRANE MOBILE LIEBHERR 250 TON,H723594,503017
Lifting (load gripping mechanism),CRANE ROUGH TERRAIN GROVE 50 TON,161EAC,503018
Lifting (load gripping mechanism),CRANE MOBILE LIEBHERR 250 TON,H724248,503019
Lifting (load gripping mechanism),CRANE ROUGH TERRAIN GROVE 80 TON,221EAD,503020
Lifting (load gripping mechanism),CRANE ROUGH TERRAIN GROVE 30 TON,321EAD,503021
Lifting (load gripping mechanism),CRANE INDUSTRIAL BRODERSON 8 TON,318EAD,503022
Lifting (load gripping mechanism),CRANE INDUSTRIAL BRODERSON 8 TON,541EAD,503023
Lifting (load gripping mechanism),CRANE INDUSTRIAL BRODERSON 8 TON,278EAC,503024
Lifting (load gripping mechanism),CRANE ROUGH TERRAIN GROVE 135 TON,307EAC,503025
Lifting (load gripping mechanism),CRANE MOBILE LIEBHERR 300 TON,H464406,503026
Lifting (load gripping mechanism),CRANE MOBILE LIEBHERR 700 TON,N/A,503027
Lifting (load gripping mechanism),TUBE BUNDLE LIFTING DEVICE CAREYLIFT 65,,504001
Lifting (load gripping mechanism),TUBE BUNDLE LIFTING DEVICE CAREYLIFT 60,,504002
"Cleaning, washing tools etc.",TRUCK AIRCRAFT DEICER WITH LIFT BUCKET,,516010
Lifting (load gripping mechanism),EXTRACTOR - AERIAL TUBE BUNDLE 45T-8000,,519021
Lifting (load gripping mechanism),EXTRACTOR - AERIAL TUBE BUNDLE 30T-7000,,519026
Lifting (load gripping mechanism),EXTRACTOR - AERIAL TUBE BUNDLE 45T- 1000,,519029
Lifting (load gripping mechanism),EXTRACTOR - AERIAL TUBE BUNDLE 60T-9000,,519030
Lifting (load gripping mechanism),Hydraulic Bundle Extractor 25T,,519054
Lifting (load gripping mechanism),Hydraulic Bundle Extractor 45T,,519055
Lifting equipment electric,MANLIFT ELECTRIC SCISSOR JLG EUROPA BVBA,096EAD,521026
Lifting (load gripping mechanism),CRANE OVERHEAD 1 TON,,521028
Lifting equipment electric,MANLIFT ELECTRIC ARTICULATING BOOM GENIE,178EAC,521043
Lifting equipment motorized,MANLIFT DIESEL SCISSOR GENIE GS3369RT,AHD992E,521044
Lifting equipment motorized,MANLIFT DIESEL SCISSOR GENIE GS3369RT,AHD991E,521045
Lifting equipment motorized,MANLIFT DIESEL SP TELESCOPIC BOOM S-80,535EAD,521046
Lifting equipment motorized,MANLIFT DIESEL SP TELESCOPIC BOOM S-80,536EAD,521047
Lifting equipment motorized,MANLIFT DIESEL SP TELESCOPIC BOOM S-80,537EAD,521048
Lifting equipment motorized,MANLIFT DIESEL SP TELESCOPIC BOOM S-80,538EAD,521049
Lifting equipment electric,MANLIFT ELECTRIC VERTICAL REACH JLG 36AM,,521051
Lifting equipment electric,MANLIFT ELECTRIC AWP GENIE AWP-20S,,521061
Lifting equipment electric,MANLIFT ELECTRIC SCISSOR JLG,422EAC,521062
Lifting equipment electric,VERTICAL LIFT ELECTRIC SUZHOU KOOSEN,,521063
Lifting equipment electric,MANLIFT ELECTRIC GTWY12-200AC,,521064
Lifting equipment motorized,STRADDLE CARRIER HYSTER 60K M600A,,526091
Lifting equipment electric,FORKLIFT ELECTRIC HYSTER 2K R2.0H,802EAB,526124
Lifting equipment electric,FORKLIFT ELECTRIC HYSTER 2K R2.0H,800EAB,526126
Lifting equipment motorized,FORKLIFT DIESEL JCB 4K 540-170,864EAB,526131
Lifting equipment motorized,FORKLIFT DIESEL HYSTER 3.5K H3.5FT,869EAB,526133
Lifting equipment electric,FORKLIFT ELECTRIC HYSTER 1.6K R1.6N,097EAD,526141
Lifting equipment motorized,FORKLIFT DIESEL HYSTER 2K H2.0FT,143EAD,526142
Lifting equipment motorized,FORKLIFT DIESEL HYSTER 3.5K H3.5FT,148EAD,526145
Lifting equipment electric,FORKLIFT ELECTRIC HYSTER 2K R2.0H,147EAD,526146
Lifting equipment electric,FORKLIFT ELECTRIC HYSTER 2K R2.0H,146EAD,526147
Lifting equipment electric,FORKLIFT ELECTRIC HYSTER 2K R2.0H,144EAD,526149
Lifting equipment motorized,FORKLIFT DIESEL JCB 3K 930 RT,150EAD,526150
Lifting equipment motorized,FORKLIFT DIESEL JCB 3K 930 RT,174EAD,526153
Lifting equipment motorized,FORKLIFT DIESEL JCB 3K 930 RT,175EAD,526155
Lifting equipment electric,FORKLIFT ELECTRIC HYSTER 1.5K RS1.5,180EAD,526156
